desc/placeName/__text,Anzahl,desc/location/geo/_lat,desc/location/geo/_long,desc/placeName/_ref
Dresden,10,51.05089,13.73832,http://www.geonames.org/2935022/
Paris,3,48.85341,2.3488,http://www.geonames.org/2988507/
London,9,51.50853,-0.12574,http://www.geonames.org/2643743/
Brighton,3,50.82838,-0.13947,http://www.geonames.org/2654710/
Portsmouth,1,50.79899,-1.09125,http://www.geonames.org/2639996/
Ryde,1,50.72999,-1.1621,http://www.geonames.org/2638911/
Ventnor,2,50.59449,-1.20672,http://www.geonames.org/2634985/
Newport,2,50.70146,-1.29124,http://www.geonames.org/2641599/
Cowes,1,50.76306,-1.29772,
Isle of Wight,1,50.66667,-1.33333,http://www.geonames.org/2633939/
Dover,1,51.12598, 1.31257,http://www.geonames.org/2651048/
Ostende,2,51.21551,2.927,http://www.geonames.org/2789786/
Brüssel,3,50.85045,4.34878,http://www.geonames.org/2800866/
Baden-Baden,9,48.7606,8.23975,http://www.geonames.org/2953504/
Traunkirchen,1,47.84462,13.78939,http://www.geonames.org/2763414/
Traunsee,1,47.85,13.8,http://www.geonames.org/2763413/
Grünau,1,47.8549347.77161,13.9557315.2616,http://www.geonames.org/2777459/http://www.geonames.org/11593345/
Almsee,1,47.7526,13.95658,http://www.geonames.org/2782762/
Offensee,1,47.75,13.83333,http://www.geonames.org/2769471/
Ebensee,1,47.80716,13.779,http://www.geonames.org/2780547/
Grundlsee,2,47.63333,13.86667,http://www.geonames.org/2777424/
Gössl,1,47.63333,13.9,http://www.geonames.org/2778263/
Kammersee,1,47.648555,13.943649,
Eisenerz,2,47.53333,14.88333,http://www.geonames.org/2780207/
Eisenerzerhöhe,1,47.6,14.91667,http://www.geonames.org/2780205/
Wildalpen,2,47.65,14.98333,http://www.geonames.org/2761261/
Weichselboden,2,47.66667,15.16667,http://www.geonames.org/2761771/
Mariazell,3,47.77306,15.31639,http://www.geonames.org/2771893/
Neuberg,1,47.66423,15.57226,http://www.geonames.org/2770844/
Würnitz,4,48.41667,16.41667,http://www.geonames.org/2760794/
Baden,5,48.00543,16.23264,http://www.geonames.org/2782067/
Halle,1,51.48158,11.97947,http://www.geonames.org/2911522/
Kirchau,3,47.65,16.1,http://www.geonames.org/2774429/
Riva,7,45.88577,10.84117,http://www.geonames.org/3169272/
Venedig,12,45.43713,12.33265,http://www.geonames.org/3164603/
Semmering,50,47.63333,15.81667,http://www.geonames.org/2765171/
Pottenstein,1,47.9582,16.0948,http://www.geonames.org/2768468/
Hinterbrühl,9,48.08611,16.24809,http://www.geonames.org/2776358/
Pressbaum,1,48.18333,16.08333,http://www.geonames.org/2768348/
Dölsach,1,46.82833,12.84528,http://www.geonames.org/2780859/
Pieve di Cadore,2,46.42466,12.36416,http://www.geonames.org/3170754/
Schluderbach,4,46.62111,12.21722,http://www.geonames.org/3180559/
Dellach,1,46.7375,13.07833,http://www.geonames.org/2781054/
Graz,7,47.06667,15.45,http://www.geonames.org/2778067/
Gloggnitz,3,47.67487,15.93893,http://www.geonames.org/2778455/
Seebenstein,2,47.69936,16.14484,http://www.geonames.org/2765292/
Kirchberg am W.,2,47.60738,15.99103,http://www.geonames.org/2774405/
Tulln,2,48.32829,16.05858,http://www.geonames.org/2763266/
Rekawinkel,3,48.17936,16.02433,http://www.geonames.org/2767581/
Hainfeld,2,48.0339,15.77414,http://www.geonames.org/2776981/
Lilienfeld,2,48.01312,15.59664,http://www.geonames.org/2772470/
St. Pölten,3,48.2,15.63333,http://www.geonames.org/2766429/
Wels,2,48.16667,14.03333,http://www.geonames.org/2761524/
Hall,2,48.03832,14.20773,http://www.geonames.org/2782054/
Wr. Neustadt,3,47.8,16.25,http://www.geonames.org/2761353/
Payerbach,9,47.69209,15.8634,http://www.geonames.org/2769182/
Singering,2,47.772699364848314,15.73029525389078,
Gutenstein,3,47.86193,15.85065,http://www.geonames.org/7873053/
Sollenau,1,47.88333,16.25,http://www.geonames.org/2764951/
Linz,7,48.30639,14.28611,http://www.geonames.org/2772400/
Lambach,1,48.09276,13.87453,http://www.geonames.org/2773110/
Bad Aussee,1,47.60998,13.78243,http://www.geonames.org/2782070/
Mistelbach,1,48.57795,16.57791,http://www.geonames.org/7871844/
Melk,4,48.22737,15.33186,http://www.geonames.org/2771682/
Wachau,4,48.33333,15.41667,http://www.geonames.org/2762137/
Krems,4,48.40921,15.61415,http://www.geonames.org/2773549/
Altenmarkt,1,48.01553,15.99661,http://www.geonames.org/2782679/
Klosterneuburg,1,48.30521,16.32522,http://www.geonames.org/2773913/
Prag,15,50.08804,14.42076,http://www.geonames.org/3067696/
Karlsbad,5,50.23271,12.87117,http://www.geonames.org/3073803/
Marienbad,4,49.96459,12.70118,http://www.geonames.org/3071024/
Franzensbad,1,50.12033,12.35174,http://www.geonames.org/3076136/
Nürnberg,10,49.45421,11.07752,http://www.geonames.org/2861650/
Lofer,2,47.58475,12.69333,http://www.geonames.org/2772330/
St. Johann,3,47.35,13.2,http://www.geonames.org/2766643/
Jenbach,2,47.39173,11.77245,http://www.geonames.org/2775093/
Tölz,3,47.76111,11.5589,http://www.geonames.org/2953324/
Holzkirchen,1,47.87663,11.70181,http://www.geonames.org/2899676/
Starnberger See,2,47.90348,11.31187,http://www.geonames.org/2829454/
Harlaching,1,48.08978,11.56345,http://www.geonames.org/2910448/
Heiligenkreuz,2,48.05559,16.12493,http://www.geonames.org/2776586/
Alland,1,48.03953,16.08085,http://www.geonames.org/7872833/
Neuhaus,4,47.99521,16.04588,http://www.geonames.org/2770778/
Günselsdorf,1,47.94395,16.26062,http://www.geonames.org/2777259/
