,dates
4440,1891-02-27
4441,1891-02-28
4442,1891-03-01
4443,1891-03-02
4444,1891-03-03
4445,1891-03-04
4446,1891-03-05
4447,1891-03-06
4448,1891-03-07
4449,1891-03-08
4450,1891-03-09
4451,1891-03-10
4452,1891-03-11
4453,1891-03-12
4454,1891-03-13
4455,1891-03-14
4456,1891-03-15
4457,1891-03-16
4458,1891-03-17
4459,1891-03-18
4460,1891-03-19
4461,1891-03-20
4462,1891-03-21
4463,1891-03-22
4464,1891-03-23
4465,1891-03-24
4466,1891-03-25
4467,1891-03-26
4468,1891-03-27
4469,1891-03-28
4470,1891-03-29
4471,1891-03-30
4472,1891-03-31
4473,1891-04-01
4474,1891-04-02
4475,1891-04-03
4476,1891-04-04
4477,1891-04-05
4478,1891-04-06
4479,1891-04-07
4480,1891-04-08
4481,1891-04-09
4482,1891-04-10
4483,1891-04-11
4484,1891-04-12
4485,1891-04-13
4486,1891-04-14
4487,1891-04-15
4488,1891-04-16
4489,1891-04-17
4490,1891-04-18
4491,1891-04-19
4492,1891-04-20
4493,1891-04-21
4494,1891-04-22
4495,1891-04-23
4496,1891-04-24
4497,1891-04-25
4498,1891-04-26
4499,1891-04-27
4500,1891-04-28
4501,1891-04-29
4502,1891-04-30
4503,1891-05-01
4504,1891-05-02
4505,1891-05-03
4506,1891-05-04
4507,1891-05-05
4508,1891-05-06
4509,1891-05-07
4510,1891-05-08
4511,1891-05-09
4512,1891-05-10
4513,1891-05-11
4514,1891-05-12
4515,1891-05-13
4516,1891-05-14
4517,1891-05-15
4518,1891-05-16
4519,1891-05-17
4520,1891-05-18
4521,1891-05-19
4522,1891-05-20
4523,1891-05-21
4524,1891-05-22
4525,1891-05-23
4526,1891-05-24
4527,1891-05-25
4528,1891-05-26
4529,1891-05-27
4530,1891-05-28
4531,1891-05-29
4532,1891-05-30
4533,1891-05-31
4534,1891-06-01
4535,1891-06-02
4536,1891-06-03
4537,1891-06-04
4538,1891-06-05
4539,1891-06-06
4540,1891-06-07
4541,1891-06-08
4542,1891-06-09
4543,1891-06-10
4544,1891-06-11
4545,1891-06-12
4546,1891-06-13
4547,1891-06-14
4548,1891-06-15
4549,1891-06-16
4550,1891-06-17
4551,1891-06-18
4552,1891-06-19
4553,1891-06-20
4554,1891-06-21
4555,1891-06-22
4556,1891-06-23
4557,1891-06-24
4558,1891-06-25
4559,1891-06-26
4560,1891-06-27
4561,1891-06-28
4562,1891-06-29
4563,1891-06-30
4564,1891-07-01
4565,1891-07-02
4566,1891-07-03
4567,1891-07-04
4568,1891-07-05
4569,1891-07-06
4570,1891-07-07
4571,1891-07-08
4572,1891-07-09
4573,1891-07-10
4574,1891-07-11
4575,1891-07-12
4576,1891-07-13
4577,1891-07-14
4578,1891-07-15
4579,1891-07-16
4580,1891-07-17
4581,1891-07-18
4582,1891-07-19
4583,1891-07-20
4584,1891-07-21
4585,1891-07-22
4586,1891-07-23
4587,1891-07-24
4588,1891-07-25
4589,1891-07-26
4590,1891-07-27
4591,1891-07-28
4592,1891-07-29
4593,1891-07-30
4594,1891-07-31
4595,1891-08-01
4596,1891-08-02
4597,1891-08-03
4598,1891-08-04
4599,1891-08-05
4600,1891-08-06
4601,1891-08-07
4602,1891-08-08
4603,1891-08-09
4604,1891-08-10
4605,1891-08-11
4606,1891-08-12
4607,1891-08-13
4608,1891-08-14
4609,1891-08-15
4610,1891-08-16
4611,1891-08-17
4612,1891-08-18
4613,1891-08-19
4614,1891-08-20
4615,1891-08-21
4616,1891-08-22
4617,1891-08-23
4618,1891-08-24
4619,1891-08-25
4620,1891-08-26
4621,1891-08-27
4622,1891-08-28
4623,1891-08-29
4624,1891-08-30
4625,1891-08-31
4626,1891-09-01
4627,1891-09-02
4628,1891-09-03
4629,1891-09-04
4630,1891-09-05
4631,1891-09-06
4632,1891-09-07
4633,1891-09-08
4634,1891-09-09
4635,1891-09-10
4636,1891-09-11
4637,1891-09-12
4638,1891-09-13
4639,1891-09-14
4640,1891-09-15
4641,1891-09-16
4642,1891-09-17
4643,1891-09-18
4644,1891-09-19
4645,1891-09-20
4646,1891-09-21
4647,1891-09-22
4648,1891-09-23
4649,1891-09-24
4650,1891-09-25
4651,1891-09-26
4652,1891-09-27
4653,1891-09-28
4654,1891-09-29
4655,1891-09-30
4656,1891-10-01
4657,1891-10-02
4658,1891-10-03
4659,1891-10-04
4660,1891-10-05
4661,1891-10-06
4662,1891-10-07
4663,1891-10-08
4664,1891-10-09
4665,1891-10-10
4666,1891-10-11
4667,1891-10-12
4668,1891-10-13
4669,1891-10-14
4670,1891-10-15
4671,1891-10-16
4672,1891-10-17
4673,1891-10-18
4674,1891-10-19
4675,1891-10-20
4676,1891-10-21
4677,1891-10-22
4678,1891-10-23
4679,1891-10-24
4680,1891-10-25
4681,1891-10-26
4682,1891-10-27
4683,1891-10-28
4684,1891-10-29
4685,1891-10-30
4686,1891-10-31
4687,1891-11-01
4688,1891-11-02
4689,1891-11-03
4690,1891-11-04
4691,1891-11-05
4692,1891-11-06
4693,1891-11-07
4694,1891-11-08
4695,1891-11-09
4696,1891-11-10
4697,1891-11-11
4698,1891-11-12
4699,1891-11-13
4700,1891-11-14
4701,1891-11-15
4702,1891-11-16
4703,1891-11-17
4704,1891-11-18
4705,1891-11-19
4706,1891-11-20
4707,1891-11-21
4708,1891-11-22
4709,1891-11-23
4710,1891-11-24
4711,1891-11-25
4712,1891-11-26
4713,1891-11-27
4714,1891-11-28
4715,1891-11-29
4716,1891-11-30
4717,1891-12-01
4718,1891-12-02
4719,1891-12-03
4720,1891-12-04
4721,1891-12-05
4722,1891-12-06
4723,1891-12-07
4724,1891-12-08
4725,1891-12-09
4726,1891-12-10
4727,1891-12-11
4728,1891-12-12
4729,1891-12-13
4730,1891-12-14
4731,1891-12-15
4732,1891-12-16
4733,1891-12-17
4734,1891-12-18
4735,1891-12-19
4736,1891-12-20
4737,1891-12-21
4738,1891-12-22
4739,1891-12-23
4740,1891-12-24
4741,1891-12-25
4742,1891-12-26
4743,1891-12-27
4744,1891-12-28
4745,1891-12-29
4746,1891-12-30
4747,1891-12-31
4748,1892-01-01
4749,1892-01-02
4750,1892-01-03
4751,1892-01-04
4752,1892-01-05
4753,1892-01-06
4754,1892-01-07
4755,1892-01-08
4756,1892-01-09
4757,1892-01-10
4758,1892-01-11
4759,1892-01-12
4760,1892-01-13
4761,1892-01-14
4762,1892-01-15
4763,1892-01-16
4764,1892-01-17
4765,1892-01-18
4766,1892-01-19
4767,1892-01-20
4768,1892-01-21
4769,1892-01-22
4770,1892-01-23
4771,1892-01-24
4772,1892-01-25
4773,1892-01-26
4774,1892-01-27
4775,1892-01-28
4776,1892-01-29
4777,1892-01-30
4778,1892-01-31
4779,1892-02-01
4780,1892-02-02
4781,1892-02-03
4782,1892-02-04
4783,1892-02-05
4784,1892-02-06
4785,1892-02-07
4786,1892-02-08
4787,1892-02-09
4788,1892-02-10
4789,1892-02-11
4790,1892-02-12
4791,1892-02-13
4792,1892-02-14
4793,1892-02-15
4794,1892-02-16
4795,1892-02-17
4796,1892-02-18
4797,1892-02-19
4798,1892-02-20
4799,1892-02-21
4800,1892-02-22
4801,1892-02-23
4802,1892-02-24
4803,1892-02-25
4804,1892-02-26
4805,1892-02-27
4806,1892-02-28
4807,1892-02-29
4808,1892-03-01
4809,1892-03-02
4810,1892-03-03
4811,1892-03-04
4812,1892-03-05
4813,1892-03-06
4814,1892-03-07
4815,1892-03-08
4816,1892-03-09
4817,1892-03-10
4818,1892-03-11
4819,1892-03-12
4820,1892-03-13
4821,1892-03-14
4822,1892-03-15
4823,1892-03-16
4824,1892-03-17
4825,1892-03-18
4826,1892-03-19
4827,1892-03-20
4828,1892-03-21
4829,1892-03-22
4830,1892-03-23
4831,1892-03-24
4832,1892-03-25
4833,1892-03-26
4834,1892-03-27
4835,1892-03-28
4836,1892-03-29
4837,1892-03-30
4838,1892-03-31
4839,1892-04-01
4840,1892-04-02
4841,1892-04-03
4842,1892-04-04
4843,1892-04-05
4844,1892-04-06
4845,1892-04-07
4846,1892-04-08
4847,1892-04-09
4848,1892-04-10
4849,1892-04-11
4850,1892-04-12
4851,1892-04-13
4852,1892-04-14
4853,1892-04-15
4854,1892-04-16
4855,1892-04-17
4856,1892-04-18
4857,1892-04-19
4858,1892-04-20
4859,1892-04-21
4860,1892-04-22
4861,1892-04-23
4862,1892-04-24
4863,1892-04-25
4864,1892-04-26
4865,1892-04-27
4866,1892-04-28
4867,1892-04-29
4868,1892-04-30
4869,1892-05-01
4870,1892-05-02
4871,1892-05-03
4872,1892-05-04
4873,1892-05-05
4874,1892-05-06
4875,1892-05-07
4876,1892-05-08
4877,1892-05-09
4878,1892-05-10
4879,1892-05-11
4880,1892-05-12
4881,1892-05-13
4882,1892-05-14
4883,1892-05-15
4884,1892-05-16
4885,1892-05-17
4886,1892-05-18
4887,1892-05-19
4888,1892-05-20
4889,1892-05-21
4890,1892-05-22
4891,1892-05-23
4892,1892-05-24
4893,1892-05-25
4894,1892-05-26
4895,1892-05-27
4896,1892-05-28
4897,1892-05-29
4898,1892-05-30
4899,1892-05-31
4900,1892-06-01
4901,1892-06-02
4902,1892-06-03
4903,1892-06-04
4904,1892-06-05
4905,1892-06-06
4906,1892-06-07
4907,1892-06-08
4908,1892-06-09
4909,1892-06-10
4910,1892-06-11
4911,1892-06-12
4912,1892-06-13
4913,1892-06-14
4914,1892-06-15
4915,1892-06-16
4916,1892-06-17
4917,1892-06-18
4918,1892-06-19
4919,1892-06-20
4920,1892-06-21
4921,1892-06-22
4922,1892-06-23
4923,1892-06-24
4924,1892-06-25
4925,1892-06-26
4926,1892-06-27
4927,1892-06-28
4928,1892-06-29
4929,1892-06-30
4930,1892-07-01
4931,1892-07-02
4932,1892-07-03
4933,1892-07-04
4934,1892-07-05
4935,1892-07-06
4936,1892-07-07
4937,1892-07-08
4938,1892-07-09
4939,1892-07-10
4940,1892-07-11
4941,1892-07-12
4942,1892-07-13
4943,1892-07-14
4944,1892-07-15
4945,1892-07-16
4946,1892-07-17
4947,1892-07-18
4948,1892-07-19
4949,1892-07-20
4950,1892-07-21
4951,1892-07-22
4952,1892-07-23
4953,1892-07-24
4954,1892-07-25
4955,1892-07-26
4956,1892-07-27
4957,1892-07-28
4958,1892-07-29
4959,1892-07-30
4960,1892-07-31
4961,1892-08-01
4962,1892-08-02
4963,1892-08-03
4964,1892-08-04
4965,1892-08-05
4966,1892-08-06
4967,1892-08-07
4968,1892-08-08
4969,1892-08-09
4970,1892-08-10
4971,1892-08-11
4972,1892-08-12
4973,1892-08-13
4974,1892-08-14
4975,1892-08-15
4976,1892-08-16
4977,1892-08-17
4978,1892-08-18
4979,1892-08-19
4980,1892-08-20
4981,1892-08-21
4982,1892-08-22
4983,1892-08-23
4984,1892-08-24
4985,1892-08-25
4986,1892-08-26
4987,1892-08-27
4988,1892-08-28
4989,1892-08-29
4990,1892-08-30
4991,1892-08-31
4992,1892-09-01
4993,1892-09-02
4994,1892-09-03
4995,1892-09-04
4996,1892-09-05
4997,1892-09-06
4998,1892-09-07
4999,1892-09-08
5000,1892-09-09
5001,1892-09-10
5002,1892-09-11
5003,1892-09-12
5004,1892-09-13
5005,1892-09-14
5006,1892-09-15
5007,1892-09-16
5008,1892-09-17
5009,1892-09-18
5010,1892-09-19
5011,1892-09-20
5012,1892-09-21
5013,1892-09-22
5014,1892-09-23
5015,1892-09-24
5016,1892-09-25
5017,1892-09-26
5018,1892-09-27
5019,1892-09-28
5020,1892-09-29
5021,1892-09-30
5022,1892-10-01
5023,1892-10-02
5024,1892-10-03
5025,1892-10-04
5026,1892-10-05
5027,1892-10-06
5028,1892-10-07
5029,1892-10-08
5030,1892-10-09
5031,1892-10-10
5032,1892-10-11
5033,1892-10-12
5034,1892-10-13
5035,1892-10-14
5036,1892-10-15
5037,1892-10-16
5038,1892-10-17
5039,1892-10-18
5040,1892-10-19
5041,1892-10-20
5042,1892-10-21
5043,1892-10-22
5044,1892-10-23
5045,1892-10-24
5046,1892-10-25
5047,1892-10-26
5048,1892-10-27
5049,1892-10-28
5050,1892-10-29
5051,1892-10-30
5052,1892-10-31
5053,1892-11-01
5054,1892-11-02
5055,1892-11-03
5056,1892-11-04
5057,1892-11-05
5058,1892-11-06
5059,1892-11-07
5060,1892-11-08
5061,1892-11-09
5062,1892-11-10
5063,1892-11-11
5064,1892-11-12
5065,1892-11-13
5066,1892-11-14
5067,1892-11-15
5068,1892-11-16
5069,1892-11-17
5070,1892-11-18
5071,1892-11-19
5072,1892-11-20
5073,1892-11-21
5074,1892-11-22
5075,1892-11-23
5076,1892-11-24
5077,1892-11-25
5078,1892-11-26
5079,1892-11-27
5080,1892-11-28
5081,1892-11-29
5082,1892-11-30
5083,1892-12-01
5084,1892-12-02
5085,1892-12-03
5086,1892-12-04
5087,1892-12-05
5088,1892-12-06
5089,1892-12-07
5090,1892-12-08
5091,1892-12-09
5092,1892-12-10
5093,1892-12-11
5094,1892-12-12
5095,1892-12-13
5096,1892-12-14
5097,1892-12-15
5098,1892-12-16
5099,1892-12-17
5100,1892-12-18
5101,1892-12-19
5102,1892-12-20
5103,1892-12-21
5104,1892-12-22
5105,1892-12-23
5106,1892-12-24
5107,1892-12-25
5108,1892-12-26
5109,1892-12-27
5110,1892-12-28
5111,1892-12-29
5112,1892-12-30
5113,1892-12-31
5114,1893-01-01
5115,1893-01-02
5116,1893-01-03
5117,1893-01-04
5118,1893-01-05
5119,1893-01-06
5120,1893-01-07
5121,1893-01-08
5122,1893-01-09
5123,1893-01-10
5124,1893-01-11
5125,1893-01-12
5126,1893-01-13
5127,1893-01-14
5128,1893-01-15
5129,1893-01-16
5130,1893-01-17
5131,1893-01-18
5132,1893-01-19
5133,1893-01-20
5134,1893-01-21
5135,1893-01-22
5136,1893-01-23
5137,1893-01-24
5138,1893-01-25
5139,1893-01-26
5140,1893-01-27
5141,1893-01-28
5142,1893-01-29
5143,1893-01-30
5144,1893-01-31
5145,1893-02-01
5146,1893-02-02
5147,1893-02-03
5148,1893-02-04
5149,1893-02-05
5150,1893-02-06
5151,1893-02-07
5152,1893-02-08
5153,1893-02-09
5154,1893-02-10
5155,1893-02-11
5156,1893-02-12
5157,1893-02-13
5158,1893-02-14
5159,1893-02-15
5160,1893-02-16
5161,1893-02-17
5162,1893-02-18
5163,1893-02-19
5164,1893-02-20
5165,1893-02-21
5166,1893-02-22
5167,1893-02-23
5168,1893-02-24
5169,1893-02-25
5170,1893-02-26
5171,1893-02-27
5172,1893-02-28
5173,1893-03-01
5174,1893-03-02
5175,1893-03-03
5176,1893-03-04
5177,1893-03-05
5178,1893-03-06
5179,1893-03-07
5180,1893-03-08
5181,1893-03-09
5182,1893-03-10
5183,1893-03-11
5184,1893-03-12
5185,1893-03-13
5186,1893-03-14
5187,1893-03-15
5188,1893-03-16
5189,1893-03-17
5190,1893-03-18
5191,1893-03-19
5192,1893-03-20
5193,1893-03-21
5194,1893-03-22
5195,1893-03-23
5196,1893-03-24
5197,1893-03-25
5198,1893-03-26
5199,1893-03-27
5200,1893-03-28
5201,1893-03-29
5202,1893-03-30
5203,1893-03-31
5204,1893-04-01
5205,1893-04-02
5206,1893-04-03
5207,1893-04-04
5208,1893-04-05
5209,1893-04-06
5210,1893-04-07
5211,1893-04-08
5212,1893-04-09
5213,1893-04-10
5214,1893-04-11
5215,1893-04-12
5216,1893-04-13
5217,1893-04-14
5218,1893-04-15
5219,1893-04-16
5220,1893-04-17
5221,1893-04-18
5222,1893-04-19
5223,1893-04-20
5224,1893-04-21
5225,1893-04-22
5226,1893-04-23
5227,1893-04-24
5228,1893-04-25
5229,1893-04-26
5230,1893-04-27
5231,1893-04-28
5232,1893-04-29
5233,1893-04-30
5234,1893-05-01
5235,1893-05-02
5236,1893-05-03
5237,1893-05-04
5238,1893-05-05
5239,1893-05-06
5240,1893-05-07
5241,1893-05-08
5242,1893-05-09
5243,1893-05-10
5244,1893-05-11
5245,1893-05-12
5246,1893-05-13
5247,1893-05-14
5248,1893-05-15
5249,1893-05-16
5250,1893-05-17
5251,1893-05-18
5252,1893-05-19
5253,1893-05-20
5254,1893-05-21
5255,1893-05-22
5256,1893-05-23
5257,1893-05-24
5258,1893-05-25
5259,1893-05-26
5260,1893-05-27
5261,1893-05-28
5262,1893-05-29
5263,1893-05-30
5264,1893-05-31
5265,1893-06-01
5266,1893-06-02
5267,1893-06-03
5268,1893-06-04
5269,1893-06-05
5270,1893-06-06
5271,1893-06-07
5272,1893-06-08
5273,1893-06-09
5274,1893-06-10
5275,1893-06-11
5276,1893-06-12
5277,1893-06-13
5278,1893-06-14
5279,1893-06-15
5280,1893-06-16
5281,1893-06-17
5282,1893-06-18
5283,1893-06-19
5284,1893-06-20
5285,1893-06-21
5286,1893-06-22
5287,1893-06-23
5288,1893-06-24
5289,1893-06-25
5290,1893-06-26
5291,1893-06-27
5292,1893-06-28
5293,1893-06-29
5294,1893-06-30
5295,1893-07-01
5296,1893-07-02
5297,1893-07-03
5298,1893-07-04
5299,1893-07-05
5300,1893-07-06
5301,1893-07-07
5302,1893-07-08
5303,1893-07-09
5304,1893-07-10
5305,1893-07-11
5306,1893-07-12
5307,1893-07-13
5308,1893-07-14
5309,1893-07-15
5310,1893-07-16
5311,1893-07-17
5312,1893-07-18
5313,1893-07-19
5314,1893-07-20
5315,1893-07-21
5316,1893-07-22
5317,1893-07-23
5318,1893-07-24
5319,1893-07-25
5320,1893-07-26
5321,1893-07-27
5322,1893-07-28
5323,1893-07-29
5324,1893-07-30
5325,1893-07-31
5326,1893-08-01
5327,1893-08-02
5328,1893-08-03
5329,1893-08-04
5330,1893-08-05
5331,1893-08-06
5332,1893-08-07
5333,1893-08-08
5334,1893-08-09
5335,1893-08-10
5336,1893-08-11
5337,1893-08-12
5338,1893-08-13
5339,1893-08-14
5340,1893-08-15
5341,1893-08-16
5342,1893-08-17
5343,1893-08-18
5344,1893-08-19
5345,1893-08-20
5346,1893-08-21
5347,1893-08-22
5348,1893-08-23
5349,1893-08-24
5350,1893-08-25
5351,1893-08-26
5352,1893-08-27
5353,1893-08-28
5354,1893-08-29
5355,1893-08-30
5356,1893-08-31
5357,1893-09-01
5358,1893-09-02
5359,1893-09-03
5360,1893-09-04
5361,1893-09-05
5362,1893-09-06
5363,1893-09-07
5364,1893-09-08
5365,1893-09-09
5366,1893-09-10
5367,1893-09-11
5368,1893-09-12
5369,1893-09-13
5370,1893-09-14
5371,1893-09-15
5372,1893-09-16
5373,1893-09-17
5374,1893-09-18
5375,1893-09-19
5376,1893-09-20
5377,1893-09-21
5378,1893-09-22
5379,1893-09-23
5380,1893-09-24
5381,1893-09-25
5382,1893-09-26
5383,1893-09-27
5384,1893-09-28
5385,1893-09-29
5386,1893-09-30
5387,1893-10-01
5388,1893-10-02
5389,1893-10-03
5390,1893-10-04
5391,1893-10-05
5392,1893-10-06
5393,1893-10-07
5394,1893-10-08
5395,1893-10-09
5396,1893-10-10
5397,1893-10-11
5398,1893-10-12
5399,1893-10-13
5400,1893-10-14
5401,1893-10-15
5402,1893-10-16
5403,1893-10-17
5404,1893-10-18
5405,1893-10-19
5406,1893-10-20
5407,1893-10-21
5408,1893-10-22
5409,1893-10-23
5410,1893-10-24
5411,1893-10-25
5412,1893-10-26
5413,1893-10-27
5414,1893-10-28
5415,1893-10-29
5416,1893-10-30
5417,1893-10-31
5418,1893-11-01
5419,1893-11-02
5420,1893-11-03
5421,1893-11-04
5422,1893-11-05
5423,1893-11-06
5424,1893-11-07
5425,1893-11-08
5426,1893-11-09
5427,1893-11-10
5428,1893-11-11
5429,1893-11-12
5430,1893-11-13
5431,1893-11-14
5432,1893-11-15
5433,1893-11-16
5434,1893-11-17
5435,1893-11-18
5436,1893-11-19
5437,1893-11-20
5438,1893-11-21
5439,1893-11-22
5440,1893-11-23
5441,1893-11-24
5442,1893-11-25
5443,1893-11-26
5444,1893-11-27
5445,1893-11-28
5446,1893-11-29
5447,1893-11-30
5448,1893-12-01
5449,1893-12-02
5450,1893-12-03
5451,1893-12-04
5452,1893-12-05
5453,1893-12-06
5454,1893-12-07
5455,1893-12-08
5456,1893-12-09
5457,1893-12-10
5458,1893-12-11
5459,1893-12-12
5460,1893-12-13
5461,1893-12-14
5462,1893-12-15
5463,1893-12-16
5464,1893-12-17
5465,1893-12-18
5466,1893-12-19
5467,1893-12-20
5468,1893-12-21
5469,1893-12-22
5470,1893-12-23
5471,1893-12-24
5472,1893-12-25
5473,1893-12-26
5474,1893-12-27
5475,1893-12-28
5476,1893-12-29
5477,1893-12-30
5478,1893-12-31
5479,1894-01-01
5480,1894-01-02
5481,1894-01-03
5482,1894-01-04
5483,1894-01-05
5484,1894-01-06
5485,1894-01-07
5486,1894-01-08
5487,1894-01-09
5488,1894-01-10
5489,1894-01-11
5490,1894-01-12
5491,1894-01-13
5492,1894-01-14
5493,1894-01-15
5494,1894-01-16
5495,1894-01-17
5496,1894-01-18
5497,1894-01-19
5498,1894-01-20
5499,1894-01-21
5500,1894-01-22
5501,1894-01-23
5502,1894-01-24
5503,1894-01-25
5504,1894-01-26
5505,1894-01-27
5506,1894-01-28
5507,1894-01-29
5508,1894-01-30
5509,1894-01-31
5510,1894-02-01
5511,1894-02-02
5512,1894-02-03
5513,1894-02-04
5514,1894-02-05
5515,1894-02-06
5516,1894-02-07
5517,1894-02-08
5518,1894-02-09
5519,1894-02-10
5520,1894-02-11
5521,1894-02-12
5522,1894-02-13
5523,1894-02-14
5524,1894-02-15
5525,1894-02-16
5526,1894-02-17
5527,1894-02-18
5528,1894-02-19
5529,1894-02-20
5530,1894-02-21
5531,1894-02-22
5532,1894-02-23
5533,1894-02-24
5534,1894-02-25
5535,1894-02-26
5536,1894-02-27
5537,1894-02-28
5538,1894-03-01
5539,1894-03-02
5540,1894-03-03
5541,1894-03-04
5542,1894-03-05
5543,1894-03-06
5544,1894-03-07
5545,1894-03-08
5546,1894-03-09
5547,1894-03-10
5548,1894-03-11
5549,1894-03-12
5550,1894-03-13
5551,1894-03-14
5552,1894-03-15
5553,1894-03-16
5554,1894-03-17
5555,1894-03-18
5556,1894-03-19
5557,1894-03-20
5558,1894-03-21
5559,1894-03-22
5560,1894-03-23
5561,1894-03-24
5562,1894-03-25
5563,1894-03-26
5564,1894-03-27
5565,1894-03-28
5566,1894-03-29
5567,1894-03-30
5568,1894-03-31
5569,1894-04-01
5570,1894-04-02
5571,1894-04-03
5572,1894-04-04
5573,1894-04-05
5574,1894-04-06
5575,1894-04-07
5576,1894-04-08
5577,1894-04-09
5578,1894-04-10
5579,1894-04-11
5580,1894-04-12
5581,1894-04-13
5582,1894-04-14
5583,1894-04-15
5584,1894-04-16
5585,1894-04-17
5586,1894-04-18
5587,1894-04-19
5588,1894-04-20
5589,1894-04-21
5590,1894-04-22
5591,1894-04-23
5592,1894-04-24
5593,1894-04-25
5594,1894-04-26
5595,1894-04-27
5596,1894-04-28
5597,1894-04-29
5598,1894-04-30
5599,1894-05-01
5600,1894-05-02
5601,1894-05-03
5602,1894-05-04
5603,1894-05-05
5604,1894-05-06
5605,1894-05-07
5606,1894-05-08
5607,1894-05-09
5608,1894-05-10
5609,1894-05-11
5610,1894-05-12
5611,1894-05-13
5612,1894-05-14
5613,1894-05-15
5614,1894-05-16
5615,1894-05-17
5616,1894-05-18
5617,1894-05-19
5618,1894-05-20
5619,1894-05-21
5620,1894-05-22
5621,1894-05-23
5622,1894-05-24
5623,1894-05-25
5624,1894-05-26
5625,1894-05-27
5626,1894-05-28
5627,1894-05-29
5628,1894-05-30
5629,1894-05-31
5630,1894-06-01
5631,1894-06-02
5632,1894-06-03
5633,1894-06-04
5634,1894-06-05
5635,1894-06-06
5636,1894-06-07
5637,1894-06-08
5638,1894-06-09
5639,1894-06-10
5640,1894-06-11
5641,1894-06-12
5642,1894-06-13
5643,1894-06-14
5644,1894-06-15
5645,1894-06-16
5646,1894-06-17
5647,1894-06-18
5648,1894-06-19
5649,1894-06-20
5650,1894-06-21
5651,1894-06-22
5652,1894-06-23
5653,1894-06-24
5654,1894-06-25
5655,1894-06-26
5656,1894-06-27
5657,1894-06-28
5658,1894-06-29
5659,1894-06-30
5660,1894-07-01
5661,1894-07-02
5662,1894-07-03
5663,1894-07-04
5664,1894-07-05
5665,1894-07-06
5666,1894-07-07
5667,1894-07-08
5668,1894-07-09
5669,1894-07-10
5670,1894-07-11
5671,1894-07-12
5672,1894-07-13
5673,1894-07-14
5674,1894-07-15
5675,1894-07-16
5676,1894-07-17
5677,1894-07-18
5678,1894-07-19
5679,1894-07-20
5680,1894-07-21
5681,1894-07-22
5682,1894-07-23
5683,1894-07-24
5684,1894-07-25
5685,1894-07-26
5686,1894-07-27
5687,1894-07-28
5688,1894-07-29
5689,1894-07-30
5690,1894-07-31
5691,1894-08-01
5692,1894-08-02
5693,1894-08-03
5694,1894-08-04
5695,1894-08-05
5696,1894-08-06
5697,1894-08-07
5698,1894-08-08
5699,1894-08-09
5700,1894-08-10
5701,1894-08-11
5702,1894-08-12
5703,1894-08-13
5704,1894-08-14
5705,1894-08-15
5706,1894-08-16
5707,1894-08-17
5708,1894-08-18
5709,1894-08-19
5710,1894-08-20
5711,1894-08-21
5712,1894-08-22
5713,1894-08-23
5714,1894-08-24
5715,1894-08-25
5716,1894-08-26
5717,1894-08-27
5718,1894-08-28
5719,1894-08-29
5720,1894-08-30
5721,1894-08-31
5722,1894-09-01
5723,1894-09-02
5724,1894-09-03
5725,1894-09-04
5726,1894-09-05
5727,1894-09-06
5728,1894-09-07
5729,1894-09-08
5730,1894-09-09
5731,1894-09-10
5732,1894-09-11
5733,1894-09-12
5734,1894-09-13
5735,1894-09-14
5736,1894-09-15
5737,1894-09-16
5738,1894-09-17
5739,1894-09-18
5740,1894-09-19
5741,1894-09-20
5742,1894-09-21
5743,1894-09-22
5744,1894-09-23
5745,1894-09-24
5746,1894-09-25
5747,1894-09-26
5748,1894-09-27
5749,1894-09-28
5750,1894-09-29
5751,1894-09-30
5752,1894-10-01
5753,1894-10-02
5754,1894-10-03
5755,1894-10-04
5756,1894-10-05
5757,1894-10-06
5758,1894-10-07
5759,1894-10-08
5760,1894-10-09
5761,1894-10-10
5762,1894-10-11
5763,1894-10-12
5764,1894-10-13
5765,1894-10-14
5766,1894-10-15
5767,1894-10-16
5768,1894-10-17
5769,1894-10-18
5770,1894-10-19
5771,1894-10-20
5772,1894-10-21
5773,1894-10-22
5774,1894-10-23
5775,1894-10-24
5776,1894-10-25
5777,1894-10-26
5778,1894-10-27
5779,1894-10-28
5780,1894-10-29
5781,1894-10-30
5782,1894-10-31
5783,1894-11-01
5784,1894-11-02
5785,1894-11-03
5786,1894-11-04
5787,1894-11-05
5788,1894-11-06
5789,1894-11-07
5790,1894-11-08
5791,1894-11-09
5792,1894-11-10
5793,1894-11-11
5794,1894-11-12
5795,1894-11-13
5796,1894-11-14
5797,1894-11-15
5798,1894-11-16
5799,1894-11-17
5800,1894-11-18
5801,1894-11-19
5802,1894-11-20
5803,1894-11-21
5804,1894-11-22
5805,1894-11-23
5806,1894-11-24
5807,1894-11-25
5808,1894-11-26
5809,1894-11-27
5810,1894-11-28
5811,1894-11-29
5812,1894-11-30
5813,1894-12-01
5814,1894-12-02
5815,1894-12-03
5816,1894-12-04
5817,1894-12-05
5818,1894-12-06
5819,1894-12-07
5820,1894-12-08
5821,1894-12-09
5822,1894-12-10
5823,1894-12-11
5824,1894-12-12
5825,1894-12-13
5826,1894-12-14
5827,1894-12-15
5828,1894-12-16
5829,1894-12-17
5830,1894-12-18
5831,1894-12-19
5832,1894-12-20
5833,1894-12-21
5834,1894-12-22
5835,1894-12-23
5836,1894-12-24
5837,1894-12-25
5838,1894-12-26
