desc/placeName/__text,Anzahl,desc/location/geo/_lat,desc/location/geo/_long
Holzkirchen,1,47.87663,11.70181
Starnberger See,2,47.90348,11.31187
Harlaching,1,48.08978,11.56345
Heiligenkreuz,2,48.05559,16.12493
Alland,1,48.03953,16.08085
Neuhaus,4,47.99521,16.04588
Guenselsdorf,1,47.94395,16.26062
Mayerling,1,48.04469,16.09694
Hamburg,7,53.57532,10.01534
Luebeck,2,53.86893,10.68729
Stavanger,1,58.97005,5.73332
Odde,1,59.10243,7.52135
Bergen,1,60.39299,5.32415
Vossevangen,1,60.62869,6.41474
Stalheim,1,60.83626,6.6799
Gudvangen,1,60.87773,6.83795
Oie,1,54.24364,13.91097
Norangthal,1,62.18333,6.73333
Hellesylt,1,62.08549,6.86769
Naes,1,55.05348,11.83264
Trondhjem,2,63.43049,10.39506
Torghatten,1,63.94082,10.0275
Svartisengletscher,1,66.65895,13.93925
Harstad,1,68.79833,16.54165
Tromsoe,1,69.6489,18.95508
Hammerfest,1,70.66336,23.68209
Nordkap,1,70.75841,25.39294
Lyngenfjord,1,64.36957,11.28901
Namsos,1,64.46624,11.49572
Christiania,2,55.67346,12.59765
Stockholm,5,59.33258,18.0649
Upsala,1,59.85882,17.63889
Goeteborg,1,57.70716,11.96679
Kopenhagen,10,55.67594,12.56553
Skodsborg,2,55.8225,12.57324
Hven,1,55.90806,12.69778
Bodensee,2,49.06694,8.35278
Fontainebleau,1,48.4,2.7
Meudon,1,48.81381,2.235
Vlissingen,1,51.4425,3.57361
Hannover,1,52.37052,9.73322
Poechlarn,1,48.2,15.2
Gaming,1,47.929,15.08818
Scheibmuehl,1,48.052635,15.611744
Pamsenhof,1,48.13992,14.43037
Muerzzuschlag,2,47.6,15.68333
Krieglach,3,47.54728,15.56248
Bruck an der Mur,2,47.41667,15.28333
Friesach,1,46.95528,14.40583
St. Veit,1,46.76806,14.36028
Feldkirch,5,47.23306,9.6
Steindorf,1,46.69833,14.00917
Annenheim,1,46.65,13.9
Ossiach,1,46.67435,13.98358
Kindberg,1,47.5,15.45
Frohnleiten,1,47.26667,15.31667
Schladming,1,47.39289,13.68699
Werfen,1,47.47585,13.1902
Tegernsee,3,47.7123,11.7582
Kreuth,2,47.64085,11.74485
Egern,1,47.69376,11.75091
Schliersee,1,47.73621,11.85936
Basel,4,47.55839,7.57327
Delémont,2,47.36493,7.34453
Biel,1,47.13713,7.24608
Neuchâtel,2,46.99179,6.931
Yverdon,1,46.77852,6.64115
Lausanne,3,46.516,6.63282
Chillon,4,46.41417,6.92872
Territet,7,46.42863,6.92122
Rochers de Naye,1,46.4318,6.97602
Vevey,1,46.46299,6.84345
Genfer See,1,46.43774,6.46906
Montreux,1,46.43301,6.91143
Interlaken,7,46.68387,7.86638
Muerren,3,46.5588,7.8929
Wengen,1,46.60599,7.92013
Scheidegg,1,46.58609,7.96126
Grindelwald,2,46.62396,8.03601
Brienz,2,46.7545,8.03847
Meiringen,2,46.72709,8.1872
Grimsel,1,46.56102,8.33695
Gletsch,2,46.56226,8.36196
Furka,1,46.57191,8.41642
Goeschenen,1,46.66816,8.58709
Weggis,1,47.03208,8.43219
Kuessnacht,1,47.08557,8.44206
Pilatus,1,46.9804,8.2572
Parma,1,44.79935,10.32618
Bologna,4,44.49381,11.33875
Ferrara,1,44.83804,11.62057
Padua,4,45.40797,11.88586
Verona,5,45.4299,10.98444
Sigmundsherberg,1,48.68333,15.75
Rosenburg,1,48.62809,15.64058
Edlach,11,47.69255,15.80915
Belisce,2,45.6799,18.40073
Orahovica,1,45.54,17.88472
Faaker See,1,46.5775,13.92556
Krumpendorf,2,46.63333,14.21667
Tarvis,1,46.50567,13.58689
Raiblsee,1,46.42028,13.565
Niederdorf,4,46.73781,12.17266
Prags,2,46.72023,12.13339
Plaetzwiesen,2,46.64949,12.18531
Misurina,2,46.58108,12.25275
Tre Croci,2,46.55672,12.20259
Giau,1,46.48306,12.05417
Caprile,2,46.43783,11.99438
Fedaja,1,46.453595,11.888349
Campitello,1,46.47632,11.74199
Vigo,2,46.41898,11.67418
Predazzo,1,46.311446.3114,11.599611.5996
Paneveggio,2,46.3,11.73333
Rollepass,1,46.29636,11.78852
Martino,7,46.26667,11.8
Fonzaso,1,46.0164,11.79897
Tezze,1,45.69011,11.70672
Trient,7,46.06787,11.12108
Igls,1,47.23333,11.41667
Biebrich,2,50.0415,8.24878
Ruedesheim,2,49.98214,7.92964
Triest,7,45.64953,13.77678
Pola,3,44.86833,13.84806
Zara,1,44.11972,15.24222
Spalato,4,43.50891,16.43915
Ragusa,8,42.64807,18.09216
Cattaro,2,42.42067,18.76825
Puchberg a/Sch.,1,47.78709,15.91352
Waidhofen,2,47.96004,14.77361
Gstatterboden,3,47.6,14.63333
Selzthal,2,47.54988,14.31201
Admont,5,47.57537,14.46075
Johnsbach,1,47.53333,14.58333
St. Michael,1,47.33839,15.01784
Kainisch,1,47.5561,13.8405
Obertraun,1,47.55782,13.68553
Bischofshofen,3,47.41667,13.21667
Kesselfall,3,47.205556,15.398889
Moserboden,1,47.1625,12.7175
Krimml,2,47.21799,12.17487
Bludenz,1,47.15476,9.82255
Schruns,2,47.07092,9.94746
Gargellen,2,46.96743,9.91825
Schlappiner Joch,1,46.92495,9.9079
Klosters,1,46.88269,9.87609
Chur,7,46.84986,9.53287
Thusis,6,46.69724,9.43938
Trafoi,2,46.5517,10.50988
Runkelstein,1,46.51754,11.35888
Breslau,8,51.1,17.03333
Nizza,4,43.70313,7.26608
Cannes,1,43.55135,7.01275
Monte Carlo,4,43.73976,7.42732
Genua,12,44.40478,8.94439
Pisa,2,43.70853,10.4036
Rom,4,41.89193,12.51133
Florenz,5,43.77925,11.24626
Landeck,3,47.12575,10.56679
Langen am Arlberg,1,47.13333,10.11667
St. Anton,2,47.1275,10.26372
Brenner,3,47.00528,11.50836
Vahrn,3,46.73901,11.63749
Brixen,1,46.71503,11.65598
Waidbruck,4,46.59712,11.53088
Dreikirchen,1,46.622653,11.512758
Franzensfeste,1,46.78333,11.6
Karersee,7,46.41147,11.58817
Weisslahnbad,2,46.47655,11.55704
Welsberg,11,46.75774,12.10556
Moedling,1,48.08605,16.28921
Schoenberg,1,47.18333,11.41667
Waldrast,1,47.13333,11.4
Matrei am Brenner,1,47.12852,11.45222
Sterzing,2,46.89313,11.42961
Muehlbach,1,46.79658,11.66754
Leoben,1,47.3765,15.09144
Prebichl,1,47.53333,14.93333
Hieflau,2,47.60639,14.74503
Liezen,1,47.56667,14.23333
Pyhrnpass,1,47.62381,14.30639
Windischgarsten,3,47.72223,14.32755
Kleinreifling,1,47.81667,14.63333
Amstetten,1,48.1229,14.87206
Agnetendorf,1,50.82264,15.61655
Hallein,1,47.68333,13.1
Murano,1,45.45857,12.35683
Torcello,1,45.49648,12.41747
Vicenza,2,45.54672,11.5475
Varese,1,45.82058,8.82511
Schneeberg,4,47.78333,15.78333
Kaltern,1,46.41326,11.24616
Mendel,6,46.41667,11.2
Malè,2,46.35356,10.91246
Campiglio,2,46.22671,10.82582
Tione,1,46.0355,10.72679
Val Ampola,1,45.870988,10.651957
Pieve di Ledro,1,45.88848,10.73124
Caldonazzo,2,45.99367,11.26426
Lavarone,1,45.93632,11.27206
Bruenn,5,49.19522,16.60796
Ancona,3,43.5942,13.50337
Neapel,16,40.83333,14.25
Sorrent,2,40.62678,14.37771
Capri,1,40.54997,14.22652
Anacapri,1,40.5517,14.21225
Pompei,3,40.75,14.48333
Palermo,4,38.13205,13.33561
Syrakus,2,37.07542,15.28664
Taormina,3,37.85358,15.28851
Messina,2,38.19394,15.55256
Adelsberg,1,45.77435,14.21528
Nasswald,1,47.76327,15.69771
Rax,4,47.7,15.71667
Lueg,5,47.56667,13.2
Villafranca,3,44.29844,9.95347
Monaco,1,43.73333,7.41667
Cap Martino,2,43.76408,7.48207
Mentone,4,43.77649,7.50435
Ajaccio,1,41.92723,8.73462
Korfu,2,39.59828,19.85231
Raach,1,47.63333,15.93333
Sonnwendstein,2,47.61667,15.85
Hochschwab,1,47.61973,15.14557
Teplitz,3,50.6404,13.82451
