,desc/placeName/_ref,desc/placeName/__text,desc/location/geo/_lat,desc/location/geo/_long,note/_anchored,note/__text,_from,_to,_cert,_instant,geonames,pmb_id,geoname_id,download_link
22,http://www.geonames.org/2776595/,Heiligenblut,47.03979,12.84345,,,1874-08-02,1874-08-16,,False,https://sws.geonames.org/2776595/,,2776595.0,https://iiif.onb.ac.at/images/AKON/AK119_494/494/full/full/0/native.jpg
23,http://www.geonames.org/2762372/,Villach,46.61028,13.85583,,,1874-08-02,1874-08-16,,False,https://sws.geonames.org/2762372/,,2762372.0,https://iiif.onb.ac.at/images/AKON/AK120_104/104/full/full/0/native.jpg
24,http://www.geonames.org/2780799/,Fusch,47.22729,12.82727,,,1877-07-21,1877-08-06,,False,https://sws.geonames.org/2780799/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/34194/detail,2780799.0,https://iiif.onb.ac.at/images/AKON/AK058_243/243/full/full/0/native.jpg
25,http://www.geonames.org/3239103/,Veldes,46.36825,14.11005,True,Veldeser See,1877-07-21,1877-08-06,,False,https://sws.geonames.org/3239103/,,3239103.0,https://iiif.onb.ac.at/images/AKON/AK076_239/239/full/full/0/native.jpg
26,http://www.geonames.org/2766813/,Salzkammergut,47.75,13.5,,,1878-08-04,1878-08-17,low,False,https://sws.geonames.org/2766813/,,,
27,http://www.geonames.org/2761369/,Wien,48.20849,16.37208,,,1879-08-30,1879-08-30,,False,https://sws.geonames.org/2761369/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/50/detail,2761369.0,https://iiif.onb.ac.at/images/AKON/AK117_016/016/full/full/0/native.jpg
28,http://www.geonames.org/2925533/,Frankfurt am Main,50.11552,8.68417,,,1879-08-30,1879-08-30,,False,https://sws.geonames.org/2925533/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/146/detail,2925533.0,https://iiif.onb.ac.at/images/AKON/AK111_495/495/full/full/0/native.jpg
29,http://www.geonames.org/2925533/,Frankfurt am Main,50.11552,8.68417,,,1879-09-01,1879-09-01,,False,https://sws.geonames.org/2925533/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/146/detail,2925533.0,https://iiif.onb.ac.at/images/AKON/AK111_495/495/full/full/0/native.jpg
30,http://www.geonames.org/2886946/,Coblenz,50.35357,7.57883,,,1879-09-01,1879-09-01,,False,https://sws.geonames.org/2886946/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/58556/detail,2886946.0,https://iiif.onb.ac.at/images/AKON/AK111_228/228/full/full/0/native.jpg
31,http://www.geonames.org/2953507/,Ems,50.33544,7.71369,,,1879-09-01,1879-09-01,,False,https://sws.geonames.org/2953507/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/62041/detail,2953507.0,https://iiif.onb.ac.at/images/AKON/AK088_404/404/full/full/0/native.jpg
